event_id,event_name,date,likely_primary_source,likely_primary_article_id,derivative_sources,article_count
EVT-0057,EXPLOSION AND FIRE OF CURVE OF TISKELE,2000-08-18,Athena Speaks,295,News Desk; The Explainer,3
EVT-0058,LANDSLIDE VICTORY FOR PRESIDENT KAPELOU,2000-10-02,The Abila Post,477,Central Bulletin; News Online Today,3
EVT-0059,THE VICTORY OF THE LANDSLIDE FOR PRESIDENT KAPELOU,2000-10-03,News Desk,311,The Explainer,2
EVT-0060,"The taxes added on the oil, development of the gas defeated in general to assembly",2001-03-18,The Guide,296,International News; The Truth,3
EVT-0061,"TAX MEASURE DEFEATED, POK EFFORTS STALLED",2001-03-22,Homeland Illumination,134,All News Today; News Online Today,3
EVT-0062,"REPORTS THE MEASURE OF THE TAX, BLOCKED EFFORTS POK",2001-03-24,The Wrap,187,The Orb,2
EVT-0063,Minister of Health Dies Suddenly,2001-06-15,News Online Today,746,The Truth; Worldwise,3
EVT-0064,Activists Disrupt Traffic Near Tiskele Bend Fields,2001-08-31,News Online Today,544,International News; The Truth,3
EVT-0065,The activists interrupt traffic near fields of the curve of Tiskele,2001-09-01,The Guide,328,Worldwise,2
EVT-0066,POK MEMBERS ARRESTED,2001-09-01,News Online Today,511,The Orb,2
EVT-0067,THE MEMBERS OF POK ARRESTED,2001-09-02,Daily Pegasus,22,The Wrap,2
EVT-0068,ELODIS PUBLIC HEALTH FACT SHEET 2002,2002-05-25,Homeland Illumination,297,News Online Today,2
EVT-0069,LEAF 2002 OF THE FACT OF THE PUBLIC HEALTH OF ELODIS,2002-05-27,Daily Pegasus,115,The Wrap,2
EVT-0070,HANK FLUSS GASTECH COO DIES AT 73,2003-05-17,News Online Today,371,The World,2
EVT-0071,THE COO OF GAStech DIES IN 73,2003-05-19,The General Post,493,The Light of Truth; The Tulip,3
EVT-0072,ELODIS PUBLIC HEALTH FACT SHEET 2004,2004-05-29,Homeland Illumination,737,All News Today,2
EVT-0073,POK PROTESTS END IN ARRESTS,2005-04-06,All News Today,121,News Online Today; The Orb; The Wrap,4
EVT-0074,Protestors Block Traffic to Tiskele Bend Fields,2005-04-06,Kronos Star,781,International News; News Online Today,3
EVT-0075,Traffic of the block from Protestors to the fields of the curve of Tiskele,2005-04-08,The Guide,595,The Truth; Worldwise,3
EVT-0076,ELODIS PROTESTS TURN TO RIOTS AND ARRESTS,2005-09-25,Central Bulletin,113,News Desk; News Online Today,3
EVT-0077,TURN OF PROTESTS Of ELODIS TO the RIOTS AND the ARRESTS,2005-09-26,Athena Speaks,383,The Explainer,2
EVT-0078,Four people have died in a crash of the way near Elodis,2007-03-19,Everyday News,332,News Online Today; The Continent,3
EVT-0079,"THE GASTECH CAR STRIKES THE AUTOMOBILE NEAR ELODIS, FAMILY OF FOUR DEAD ONES",2007-03-21,Daily Pegasus,182,All News Today; News Online Today,3
EVT-0080,"GASTECH TOUCH THE TRUCK CAR NEAR ELODIS, FAMILY OF DEAD FOUR",2007-03-22,The Wrap,236,The Orb,2
EVT-0081,TRAFFIC ACCIDENT NEAR ELODIS,2007-04-11,Central Bulletin,578,Athena Speaks; News Online Today; The Explainer,4
EVT-0082,POK Protest at GAStech Headquarters Ends in Arrests,2009-02-18,Kronos Star,168,International News,2
EVT-0083,GASTECH HEADQUARTERS BLOCKED BY POK,2009-02-19,Central Bulletin,565,News Online Today; The Abila Post; The Guide; The Truth,6
EVT-0084,The protest of POK at GAStech sits of the ends in the arrests,2009-02-20,Worldwise,808,The Explainer,2
EVT-A181,POK 抗议 GAStech 设施遭逮捕,2009-02-20,Kronos Star,273,All News Today; Central Bulletin; Centrum Sentinel; Daily Pegasus; Everyday News; Homeland Illumination; International News; International Times; News Desk; News Online Today; The Abila Post; The Continent; The Guide; The Light of Truth; The Truth; The Tulip; The World; The Wrap; Who What News; World Journal; Worldwise,43
EVT-0085,SANJORGE JR CONDEMNS POK LIKE TERRORISTS,2009-02-21,The Light of Truth,675,Who What News,2
EVT-0086,SANJORGE JR CONDEMNS POK LIKE TERRORISTS,2009-02-22,The General Post,23,The Tulip,2
EVT-0087,"The protectors of Kronos de Kronos declared ""group of the terrorist""",2009-02-23,Everyday News,201,News Online Today; The Continent; World Journal; World Source,5
EVT-0088,THE POK MEETING DRAWS THOUSANDS OF THOSE IN FAVOR,2009-03-09,Daily Pegasus,51,The Orb; The Wrap,3
EVT-0089,POK LEADER ARRESTED,2009-03-12,The Abila Post,398,All News Today; Homeland Illumination; International News; Kronos Star,6
EVT-0090,ARRESTED LEADER KAREL OF POK,2009-03-13,Daily Pegasus,157,News Desk; News Online Today; The Explainer; The Wrap,5
EVT-0091,POK LEADER ARRESTED,2009-03-13,Central Bulletin,798,News Online Today,2
EVT-0092,THE CHIEF OF STOPPED POK,2009-03-14,Athena Speaks,354,The Orb,2
EVT-0093,GASTECH ADOPTS NEW LOGO,2009-05-16,News Online Today,65,The Tulip; Who What News,3
EVT-0094,GASTECH ADOPTS NEW STANDARD,2009-05-17,The General Post,826,The Light of Truth,2
EVT-A182,Elian Karel 死亡,2009-06-19,The Abila Post,185,All News Today; Athena Speaks; Central Bulletin; Daily Pegasus; Everyday News; Homeland Illumination; International News; International Times; Kronos Star; News Desk; News Online Today; The Continent; The Explainer; The Guide; The Orb; The Truth; The Wrap; World Journal; World Source; Worldwise,63
EVT-0095,Protest Turns Violent in Abila,2009-06-20,Kronos Star,623,The Abila Post,2
EVT-0096,ELIAN KAREL DEAD IN KRONOS JAIL,2009-06-20,News Online Today,95,All News Today; The Wrap,3
EVT-0097,THE SPONTANEOUS PROTESTS BURST AROUND ABILA,2009-06-21,Athena Speaks,191,Central Bulletin; News Desk; News Online Today; The Guide; The Truth; Worldwise,8
EVT-0098,ELIAN KAREL DIED IN KRONOS JAIL,2009-06-21,Daily Pegasus,269,The Orb,2
EVT-0099,Profile:  Elian Karel,2009-06-22,News Online Today,155,International Times; World Source,3
EVT-0100,Profile:  Elian Karel,2009-06-23,Everyday News,387,The Continent; World Journal,3
EVT-0101,The race of boat stopped before starting,2010-03-05,World Journal,180,The Continent,2
EVT-0102,ANNIVERSARY OF PROTESTS,2010-06-14,Central Bulletin,34,News Online Today; The Explainer,3
EVT-0103,BIRTHDAY OF THE PROTESTS,2010-06-15,Athena Speaks,405,News Desk,2
EVT-0104,"IN REMEMBRANCE:  THE DEATH OF ELIAN KAREL, A YEAR LATER",2010-06-19,Homeland Illumination,770,News Online Today,2
EVT-0105,"IN REMEMBRANCE:  THE DEATH OF ELIAN KAREL, A YEAR LATER",2010-06-21,Daily Pegasus,257,The Orb; The Wrap,3
EVT-0106,GOVERNMENT RESPONDS TO ANOTHER ROUND OF PROTESTS,2010-06-21,Central Bulletin,604,Athena Speaks; News Online Today,3
EVT-0107,POK Protest at Abila Police Headquarters,2010-06-21,News Online Today,766,International News,2
EVT-0108,Protest POK at the Headquarters of the police force Abila,2010-06-22,The Truth,581,The Guide; Worldwise,3
EVT-0109,THE GOVERNMENT ANSWERS TO ANOTHER ROUND OF PROTESTS,2010-06-22,News Desk,644,The Explainer,2
EVT-0110,PRESIDENT KAPELOU II ELECTED BY RECORD MARGIN,2010-10-03,Central Bulletin,244,News Desk; News Online Today,3
EVT-0111,PRESIDENT KAPELOU II A ELECTED BY THE MARGIN RECORD,2010-10-04,Athena Speaks,601,The Explainer,2
EVT-0112,PREOCCUPATIONS OF THE INVESTMENT OF BUSINESS IN KRONOS,2010-12-18,The General Post,345,The Light of Truth,2
EVT-0113,DRUG RELATED ARRESTS ON THE INCREASE,2011-05-15,News Desk,571,News Online Today,2
EVT-0114,A LOOK BACK AT A LIFE CUT TRAGICAL SHORT: ELIAN KAREL,2011-06-20,Homeland Illumination,161,,2
EVT-0115,A GLANCE BEHIND IN A CUT TRAGICAL OF THE LIFE PUTS IN SHORT CIRCUIT: ELIAN KAREL,2011-06-21,Daily Pegasus,175,All News Today; News Online Today,3
EVT-0116,POK Protesters Vandalize Siopa District,2011-06-21,News Online Today,416,Worldwise,2
EVT-0117,A GLANCE BEHIND TRAGEDY OF CUT OF THE LIFE: ELIAN KAREL,2011-06-22,The Orb,249,The Wrap,2
EVT-0118,Protesters POK the district of Vandalize Siopa,2011-06-22,The Truth,361,The Guide,2
EVT-0119,"POK Labeled a ""Public Threat""",2011-07-27,Kronos Star,548,The Abila Post,2
EVT-0120,GOVERNMENT LABELS POK 'PUBLIC THREAT',2011-07-28,Central Bulletin,123,International News; News Desk; News Online Today; The Explainer; The Guide; The Truth,7
EVT-0121,"THE GOVERNMENT MARKS POK ""PUBLIC THREAT""",2011-07-29,Athena Speaks,64,Worldwise,2
EVT-0122,KRONOS POLICE ARREST BLOTTER - ABILA,2011-11-23,Central Bulletin,37,News Online Today,2
EVT-0123,"The gas and oil industry of Kronos informed that it takes up its ""greater challenge in 20 years"" of due to the bottom grades of exploration.",2012-02-21,World Journal,739,The Continent,2
EVT-0124,Minister of Health Receives Threats from POK,2012-03-08,News Online Today,797,The Truth; Worldwise,3
EVT-0125,THREATS ISSUED BY POK,2012-03-09,News Online Today,549,The Explainer,2
EVT-0126,THE THREATS PUBLISHED BY POK,2012-03-10,Athena Speaks,610,News Desk,2
EVT-0127,RALLY SCHEDULED IN SUPPORT OF INCREASED GOVERNMENT ACCOUNTABILITY,2012-04-09,Homeland Illumination,358,All News Today,2
EVT-0128,MEETING TO PROGRAM IN SUPPORT OF INCREASING RESPONSIBILITY OF THE GOVERNMENT,2012-04-10,Daily Pegasus,773,The Orb,2
EVT-0129,Abila police break up sit-in turned violent at the presidential manor,2012-06-20,World Source,132,International Times,2
EVT-0130,POK REMEMBERS MARTYRED LEADER,2012-06-20,Homeland Illumination,18,All News Today; News Online Today,3
EVT-0131,POK Anniversary Rally Ends in Riot,2012-06-20,Kronos Star,364,International News; News Online Today,3
EVT-A183,POK 纪念 Karel 集会,2012-06-20,Daily Pegasus,572,All News Today; Homeland Illumination; News Online Today; The Orb,6
EVT-0132,The police of Abila breaks itself for above will seat dice returned violent in presidential,2012-06-21,Everyday News,343,News Online Today; The Continent; World Journal,4
EVT-0133,Ends of the meeting of the anniversary of POK in uproar,2012-06-21,The Guide,664,The Truth,2
EVT-0134,"Kapelou Calls POK ""A Gang of Criminals""",2012-06-22,News Online Today,337,International News; Worldwise,3
EVT-0135,POK REMEMBERS MARTYRED LEADER,2012-06-22,Daily Pegasus,572,The Orb,2
EVT-0136,The question POK of Kapelou a troop of criminals,2012-06-23,The Truth,156,The Guide,2
EVT-0137,WHO ARE THE PROTESTERS,2012-08-22,The Abila Post,54,News Online Today,2
EVT-0138,WHO ARE THE PROTESTERS,2012-08-23,Central Bulletin,213,News Desk,2
EVT-0139,WHO ARE the PROTESTERS,2012-08-24,Athena Speaks,74,The Explainer,2
EVT-0140,PROTESTS SWELL IN ABILA IN RESPONSE TO CALLS TO ACTION,2012-09-08,All News Today,753,The Orb; The Wrap,3
EVT-0141,POK DEMONSTRATIONS ON THE INCREASE,2012-11-12,News Online Today,108,The Orb; The Wrap,3
EVT-0142,Abila Hospitals Seeing Influx of Designer Drug Users,2013-02-08,News Online Today,124,The Continent,2
EVT-0143,Hospitals of Abila that see the affluence of the designer drug users,2013-02-09,Everyday News,93,World Journal,2
EVT-0144,GAStech Profile,2013-02-22,News Online Today,303,International Times; World Source,3
EVT-0145,GAStech,2013-02-24,Everyday News,147,The Continent; World Journal,3
EVT-0146,"Annual POK Rally Ends in Riot, Again",2013-06-20,Kronos Star,130,International News; News Online Today,3
EVT-0147,WHO BRINGS A GUN TO A SIT IN?,2013-06-21,All News Today,341,The Wrap,2
EVT-0148,"Annual ends of the meeting of POK in uproar, again",2013-06-22,The Guide,189,Worldwise,2
EVT-0149,THE WHO BRINGS A WEAPON TO SEATING INSIDE?,2013-06-22,Daily Pegasus,700,The Orb,2
EVT-0150,SANJORGE JR. TAKING GASTECH INTERNATIONAL PUBLIC,2013-09-03,News Online Today,46,The Tulip,2
EVT-0151,JR OF SANJORGE THAT TAKES TO GASTECH THE PUBLIC INTERNATIONAL,2013-09-04,The General Post,336,The Light of Truth,2
EVT-0152,2014/03/26,2013-10-21,Everyday News,234,World Journal,2
EVT-0153,Multi-Country Task Force Formed,2013-10-22,News Online Today,590,World Source,2
EVT-0154,The protests of Kronos explode in violence,2013-11-13,Everyday News,608,News Online Today; The Continent; World Journal,4
EVT-0155,BRAZEN DAY TIME ASSAULT BY POK,2013-12-16,The Abila Post,83,News Online Today,2
EVT-0156,POK Assault Police in Abila,2013-12-16,News Online Today,777,International News; The Guide; The Truth,4
EVT-0157,HUGE IPO MAKES SANJORGE BILLIONAIRE,2013-12-16,News Online Today,86,The World,2
EVT-A184,GAStech IPO,2013-12-16,The General Post,223,Central Bulletin; Homeland Illumination; News Desk; News Online Today; The Abila Post; The Explainer; The Light of Truth; The Tulip; The World; Who What News,16
EVT-A185,IPO 后高管巨额收益披露,2013-12-16,Homeland Illumination,681,All News Today; Athena Speaks; Central Bulletin; News Desk; News Online Today; The Abila Post; The General Post; The Light of Truth; The Tulip; The World; The Wrap; Who What News,15
EVT-0158,BRAZEN DAY TIME ASSAULT BY POK,2013-12-17,Central Bulletin,800,Athena Speaks,2
EVT-0159,GIANT IPO MAKE SANJORGE BILLIONAIRE,2013-12-17,The Tulip,360,Who What News,2
EVT-0160,ENORMOUS IPO MAKES MULTIMILLIONAIRE OF SANJORGE,2013-12-18,The General Post,223,The Light of Truth,2
EVT-0161,MEETING SET FOR TOMORROW MORNING,2014-01-19,Central Bulletin,618,Athena Speaks; News Desk; The Abila Post; The Explainer,5
EVT-0162,A CELEBRATION OF UNFETTERED KLEPTOCRACY,2014-01-19,Homeland Illumination,128,All News Today; Daily Pegasus; News Online Today; The Orb; The Wrap,6
EVT-0163,GAStech and Kronos Celebrate Partnership,2014-01-19,Kronos Star,174,International News; News Online Today; The Guide; The Truth; Worldwise,6
EVT-0164,VOICES - a blog about what is important to the people,2014-01-20,Homeland Illumination,10,Centrum Sentinel,59
EVT-0165,WRAP UP OF EVENTS AT GASTECH,2014-01-20,The Abila Post,326,Athena Speaks; Central Bulletin; International News; Kronos Star; News Online Today; The Explainer; The General Post; The Guide; The Light of Truth; The Truth; The Tulip; The World; Who What News,17
EVT-0166,To break off itself: The emergency to GAStech quarters construction [updates],2014-01-20,Tethys News,11,,35
EVT-0167,"GASTECH EMPLOYEE INTERROGATED, RELEASED",2014-01-20,Central Bulletin,125,Athena Speaks; News Desk; News Online Today; The Abila Post; The Explainer,7
EVT-0168,ON THE SCENE BLOG,2014-01-20,The Abila Post,356,Modern Rubicon,52
EVT-0169,TOP EVENTS WITH GASTECH,2014-01-20,Athena Speaks,140,News Desk; The Explainer; Worldwise,5
EVT-0170,Breaking: Emergency at GAStech Headquarters Building [Updates],2014-01-20,Kronos Star,163,,35
EVT-0171,GASTECH LEADERSHIP CONFIRMED MISSING,2014-01-20,Central Bulletin,170,News Online Today; The Abila Post,3
EVT-0172,ABILA AIRPORT CONFIRMS TWO PRIVATE JETS LEFT TODAY,2014-01-20,The Abila Post,718,Athena Speaks; News Desk; The Explainer,4
EVT-0173,VOICES - a blog approximately that what is important to people,2014-01-20,Centrum Sentinel,828,,3
EVT-A186,2014-01-20 GAStech 总部会议,2014-01-20,Kronos Star,174,Central Bulletin; International News; News Online Today; The Abila Post; The Explainer; The Guide; The Truth,19
EVT-A187,GAStech 高管失踪/绑架,2014-01-20,Modern Rubicon,106,Athena Speaks; Central Bulletin; Centrum Sentinel; Everyday News; Homeland Illumination; International News; International Times; Kronos Star; News Desk; News Online Today; Tethys News; The Abila Post; The Continent; The Explainer; The General Post; The Guide; The Light of Truth; The Truth; The Tulip; The World; Who What News; World Journal; World Source; Worldwise,79
EVT-A188,POK 声称绑架责任,2014-01-20,Modern Rubicon,106,Homeland Illumination; International News; International Times; Kronos Star; News Online Today; Tethys News; The Abila Post; The Continent; The General Post; The Guide; The Truth; The World; Who What News; Worldwise,27
EVT-0174,ON SCENE BLOG,2014-01-21,Modern Rubicon,727,The Abila Post,8
EVT-0175,VOICES - a blog about what is important to the people,2014-01-21,Homeland Illumination,407,Centrum Sentinel,11
EVT-0176,GAStech's Sanjorge Escapes Kidnapping at GAStech HQ,2014-01-21,Kronos Star,481,Everyday News; International News; International Times; News Online Today; The Continent; The Guide; The Light of Truth; The Truth; World Journal; World Source,12
EVT-0177,DEMANDS OF THE RESCUE DONE IN THE KIDNAPPING OF GASTECH,2014-01-21,The General Post,536,News Online Today; The Guide; The Truth; The Tulip; The World; Who What News,7
EVT-0178,Conference of news of catch of police force on the kidnapping of GAStech,2014-01-21,Worldwise,274,,2
EVT-0179,Police Hold News Conference on GAStech Kidnapping,2014-01-21,Kronos Star,693,International News; News Online Today,3
EVT-0180,Penetration of an expert: prospering like foreign CEO in Kronos,2014-03-26,Everyday News,656,The Continent; World Journal,3
