item_id,item_type,date,title,sources,article_ids,likely_primary_source,sample_summary
EVT-0086,cross_source_story,2009-02-22,SANJORGE JR CONDEMNS POK LIKE TERRORISTS,The General Post; The Tulip,23;529,The General Post,"An official declaration sent by Sten Sanjorge, president of the Jr and the CEO of international GASTech, condemns the protectors of Kronos like ""ilegítimate"" and organization of the ""terrorist"". The d"
EVT-0087,cross_source_story,2009-02-23,"The protectors of Kronos de Kronos declared ""group of the terrorist""",Everyday News; News Online Today; The Continent; World Journal; World Source,201;36;631;643;646,Everyday News,<<Deleted image: POK has celebrated numerous demonstrations in the capital of Kronos de Abila>> To continue reading main history The government of Kronos has declared the protectors of Kronos that a t
EVT-0088,cross_source_story,2009-03-09,THE POK MEETING DRAWS THOUSANDS OF THOSE IN FAVOR,Daily Pegasus; The Orb; The Wrap,217;51;735,Daily Pegasus,"The thousands of demonstrators who take the flags that read ""remember Julian"" and singing ""we wished truth"" reunited in front of the morning of Saturday of the governmental offices of Kronos. The demo"
EVT-0089,cross_source_story,2009-03-12,POK LEADER ARRESTED,All News Today; Homeland Illumination; International News; Kronos Star; The Abila Post,294;398;437;683;820;836,The Abila Post,"Elian Karel, the charismatic leader of the Protectors of Kronos, was arrested today on charges of tax evasion. Michale Kraft, Karel's lawyer, released a statement asserting that the charges leveled ag"
EVT-0090,cross_source_story,2009-03-13,ARRESTED LEADER KAREL OF POK,Daily Pegasus; News Desk; News Online Today; The Explainer; The Wrap,157;19;577;667;788,Daily Pegasus,"In another unconscionable movement against the citizens of Kronos, the previous police of today arrested leader Elian Karel of POK in false loads of the fiscal evasion. They lead him - manacled - of a"
EVT-0091,cross_source_story,2009-03-13,POK LEADER ARRESTED,Central Bulletin; News Online Today,505;798,Central Bulletin,"Elian Karel, the charismatic leader of the Protectors of Kronos, was arrested today on charges of tax evasion. Michale Kraft, Karel's lawyer, released a statement asserting that the charges leveled ag"
EVT-0092,cross_source_story,2009-03-14,THE CHIEF OF STOPPED POK,Athena Speaks; The Orb,354;455,Athena Speaks,"Elan Carol, the charismatic chief of the guards of Kronos, was stopped today on expenses of tax avoidance. Michale Kraft, the lawyer of Carol, released a report/ratio affirming that the expenses level"
EVT-0093,cross_source_story,2009-05-16,GASTECH ADOPTS NEW LOGO,News Online Today; The Tulip; Who What News,422;65;810,News Online Today,"With great fanfare GAStech International's President and CEO Sten Sanjorge, Jr. spoke of the new logo - a tri-part blue flame - that is reminiscent of a leaf to ""help position GAStech and its products"
EVT-0094,cross_source_story,2009-05-17,GASTECH ADOPTS NEW STANDARD,The General Post; The Light of Truth,560;826,The General Post,"International president and CEO Sten Sanjorge Jr., with great fanfare, revealed the new standard of the company, leaves from the process rebranding of the company. During the press conference Sanjorge"
EVT-A182,anchor_event,2009-06-19,Elian Karel 死亡,All News Today; Athena Speaks; Central Bulletin; Daily Pegasus; Everyday News; Homeland Illumination; International News; International Times; Kronos Star; News Desk; News Online Today; The Abila Post; The Continent; The Explainer; The Guide; The Orb; The Truth; The Wrap; World Journal; World Source; Worldwise,0;14;18;24;33;34;54;55;73;74;77;95;132;149;158;161;162;175;184;185;190;204;213;225;249;257;269;282;286;288;300;309;318;334;343;351;353;357;378;385;387;445;454;508;520;523;554;566;570;572;581;620;623;670;698;709;745;753;767;770;799;801;812,The Abila Post,"Protests erupted around the Kronos government buildings, downtown, and elsewhere around Abila eventually escalating into riots and violence. The activists are protesting the death yesterday of Elian K"
EVT-0095,cross_source_story,2009-06-20,Protest Turns Violent in Abila,Kronos Star; The Abila Post,185;623,Kronos Star,"A rally of hundreds of protestors allied with the ""Protectors of Kronos"" movement turned to violence today as angry activists vented their displeasure on the innocent citizens of Abila after hearing t"
EVT-0096,cross_source_story,2009-06-20,ELIAN KAREL DEAD IN KRONOS JAIL,All News Today; News Online Today; The Wrap,445;554;95,News Online Today,"Elian Karel, age 28, died Friday while unlawfully incarcerated at the Abila City Prison. He was expecting to be released in the next few days and return to his work with the Protectors of Kronos, and "
EVT-0097,cross_source_story,2009-06-21,THE SPONTANEOUS PROTESTS BURST AROUND ABILA,Athena Speaks; Central Bulletin; News Desk; News Online Today; The Guide; The Truth; Worldwise,14;162;191;20;204;309;745;801,Athena Speaks,"the protests burst around the buildings of government of Kronos, the center town, and elsewhere around Abila climbing thereafter in riots and violence. The activists protest yesterday the death of Ela"
EVT-0098,cross_source_story,2009-06-21,ELIAN KAREL DIED IN KRONOS JAIL,Daily Pegasus; The Orb,269;357,Daily Pegasus,"Elian Karel, age 28, died Friday whereas incarcerated illegally in the prison of the city of Abila. Karel was jailed in fraudulent charges of the fiscal evasion after its halting the 12 of March earli"
EVT-0099,cross_source_story,2009-06-22,Profile:  Elian Karel,International Times; News Online Today; World Source,155;24;353,News Online Today,"<<deleted image of Elian Karel speaking at a rally in Abila>> Voice of protest for some, popularist demagogue for others, Protectors of Kronos leader Elian Karel became a martyr and a rallying point f"
EVT-0100,cross_source_story,2009-06-23,Profile:  Elian Karel,Everyday News; The Continent; World Journal,149;268;387,Everyday News,"<<deleted the image of Elian Karel that spoke in a meeting in Abila>> The voice of the protest for some, demagog for others, protective of popularist of the leader Elian Karel de Kronos became martyr "
EVT-0101,cross_source_story,2010-03-05,The race of boat stopped before starting,The Continent; World Journal,180;242,World Journal,10th Kapalou cup was given to later less than one hour before it was due to the beginning after the capsized presidential ship and is descended. It is the first incident of its kind in the history of 
EVT-0102,cross_source_story,2010-06-14,ANNIVERSARY OF PROTESTS,Central Bulletin; News Online Today; The Explainer,334;34;378,Central Bulletin,"Last year spontaneous protests and riots broke out around Abila in response to the death of Elian Karel, a Protectors of Kronos (POK) activist. Officials fear a repeat of last year's violent activitie"
EVT-0103,cross_source_story,2010-06-15,BIRTHDAY OF THE PROTESTS,Athena Speaks; News Desk,190;405,Athena Speaks,"The spontaneous protests and riots last year burst around Abila in answer to died of Elan Carol, of the guards of activist of Kronos (POK). The civils servant fear a repetition of the violent activiti"
EVT-0104,cross_source_story,2010-06-19,"IN REMEMBRANCE:  THE DEATH OF ELIAN KAREL, A YEAR LATER",Homeland Illumination; News Online Today,286;770,Homeland Illumination,"One year ago today a young man in search of a brighter future for his countrymen died in a cold, cement prison. He was attended only by apathetic guards who had been charged with detaining him pending"
EVT-0105,cross_source_story,2010-06-21,"IN REMEMBRANCE:  THE DEATH OF ELIAN KAREL, A YEAR LATER",Daily Pegasus; The Orb; The Wrap,158;257;523,Daily Pegasus,"A young man in search of a more shining future for his died countrymen does today of the year in a cold, prison of the cement. The protectors he only took care of apathetic it that they had been loade"
EVT-0106,cross_source_story,2010-06-21,GOVERNMENT RESPONDS TO ANOTHER ROUND OF PROTESTS,Athena Speaks; Central Bulletin; News Online Today,604;615;71,Central Bulletin,Protesters aligned with the Protectors of Kronos (POK) activist group surrounded government buildings chanting and carry images of their so-called martyrs. Kronos government security forces in concert
EVT-0107,cross_source_story,2010-06-21,POK Protest at Abila Police Headquarters,International News; News Online Today,766;767,News Online Today,A Protectors of Kronos demonstration was held in front of Abila police headquarters yesterday morning. Abila police attempted to gain control of the situation by using bullhorns to call for the peacef
EVT-0108,cross_source_story,2010-06-22,Protest POK at the Headquarters of the police force Abila,The Guide; The Truth; Worldwise,581;620;670,The Truth,"The guards were loved demonstration Kronos for Abila the morning the police headquarters yesterday. POK within memorialize their former LEADER, Elian Karel had collected himself, who died previous yea"
EVT-0109,cross_source_story,2010-06-22,THE GOVERNMENT ANSWERS TO ANOTHER ROUND OF PROTESTS,News Desk; The Explainer,644;691,News Desk,Protesters which at the guards of Kronos the activist group (of POK) is aimed surrounded government bldg. the chanting and carry pictures of their so-called martyrs. The strengths of the government se
EVT-0114,cross_source_story,2011-06-20,A LOOK BACK AT A LIFE CUT TRAGICAL SHORT: ELIAN KAREL,Homeland Illumination,161;225,Homeland Illumination,"Two years ago yesterday Elian Karel died at age 28 in an Abila jail cell, purportedly of cardiac arrest. He had been arrested three months prior for spurious charges of tax evasion and left to linger "
EVT-0115,cross_source_story,2011-06-21,A GLANCE BEHIND IN A CUT TRAGICAL OF THE LIFE PUTS IN SHORT CIRCUIT: ELIAN KAREL,All News Today; Daily Pegasus; News Online Today,175;288;77,Daily Pegasus,"For two years of Elian Karel died yesterday in age 28 in a cell of the jail of Abila, presumably of the failure cardiac. They had arrested it three months previous for the false loads of left fiscal e"
EVT-0116,cross_source_story,2011-06-21,POK Protesters Vandalize Siopa District,News Online Today; Worldwise,416;774,News Online Today,A Protectors of Kronos demonstration in the streets of the Siopa district in downtown Abila resulted in numerous incidents of vandalism and opportunistic looting yesterday.
EVT-0117,cross_source_story,2011-06-22,A GLANCE BEHIND TRAGEDY OF CUT OF THE LIFE: ELIAN KAREL,The Orb; The Wrap,249;799,The Orb,"Two years ago yesterday Elian Karel died at age 28 in a cell of prison of Abila, supposedly of heart stop. He had been stopped three months former for incidental expense of tax avoidance and left to b"
EVT-0118,cross_source_story,2011-06-22,Protesters POK the district of Vandalize Siopa,The Guide; The Truth,361;754,The Truth,The guards of demonstration Kronos resulted in the streets of the district Siopa in Abila of the inner city in many incidents of vandalism and the opportunistic plunder yesterday. The new emblem POK p
EVT-0119,cross_source_story,2011-07-27,"POK Labeled a ""Public Threat""",Kronos Star; The Abila Post,548;705,Kronos Star,"In a statement to the press today, government spokesman Rufus Drymiau said of the POK: ""they are justifiably a public threat due to violent demonstrations, opportunistic vandalism, and clashes with th"
EVT-0120,cross_source_story,2011-07-28,GOVERNMENT LABELS POK 'PUBLIC THREAT',Central Bulletin; International News; News Desk; News Online Today; The Explainer; The Guide; The Truth,123;224;45;499;527;757;96,Central Bulletin,"ABILA, Kronos - The Kronos Government has labeled the Protectors of Kronos (POK) as a threat to the public. In a statement by government spokesman Rufus Drymiau the POK are described as ""justifiably a"
EVT-0121,cross_source_story,2011-07-29,"THE GOVERNMENT MARKS POK ""PUBLIC THREAT""",Athena Speaks; Worldwise,629;64,Athena Speaks,"The government of Kronos marked the Protectors of Kronos (POK) as threats the public. In a report of spokesman Rufus Drymiau of government the POK are described like ""clear public threats due to the v"
EVT-0124,cross_source_story,2012-03-08,Minister of Health Receives Threats from POK,News Online Today; The Truth; Worldwise,228;584;797,News Online Today,"Police sources have stated that Vincent Kapelou, Minister of Health, has received several threatening letters purporting to come from the POK."
EVT-0125,cross_source_story,2012-03-09,THREATS ISSUED BY POK,News Online Today; The Explainer,258;549,News Online Today,"Letters purported to be from the Protectors of Kronos (POK) have been received by Vincent Kapelou, Minister of Health and nephew of President Kapelou."
EVT-0126,cross_source_story,2012-03-10,THE THREATS PUBLISHED BY POK,Athena Speaks; News Desk,104;610,Athena Speaks,"ABILA, Kronos - letters claimed to be from guards of Kronos (POK) were received by Vincent Kapelou, minister of health and nephew of President Kapelou. The menacing letters seem to be the empty threat"
EVT-0127,cross_source_story,2012-04-09,RALLY SCHEDULED IN SUPPORT OF INCREASED GOVERNMENT ACCOUNTABILITY,All News Today; Homeland Illumination,135;358,Homeland Illumination,"Silvia Marek, leader of the Protectors of Kronos social action organization is appealing to the citizens of Kronos to join her for a day of peaceful protest tomorrow. Marek asks all concerned citizens"
EVT-0128,cross_source_story,2012-04-10,MEETING TO PROGRAM IN SUPPORT OF INCREASING RESPONSIBILITY OF THE GOVERNMENT,Daily Pegasus; The Orb,239;773,Daily Pegasus,"Silvia Marek, leader of the protectors of the social organization of the action of Kronos is repealing the citizens of Kronos to assemble it by a day of the pacific protest morning. Marek requests tha"
EVT-0129,cross_source_story,2012-06-20,Abila police break up sit-in turned violent at the presidential manor,International Times; World Source,132;282,World Source,"Traffic snarled around the city as Abilians struggle to get to work amid vandalism and looting Early on Tuesday police stormed the front of the presidential mansion and the capital building, breaking "
EVT-0130,cross_source_story,2012-06-20,POK REMEMBERS MARTYRED LEADER,All News Today; Homeland Illumination; News Online Today,18;570;698,Homeland Illumination,"In a touching ceremony Wednesday leaders of the activist group Protectors of Kronos paid tribute to their fallen leader, Elian Karel, who was murdered on 19 June 2009 while being illegally detained in"
EVT-0131,cross_source_story,2012-06-20,POK Anniversary Rally Ends in Riot,International News; Kronos Star; News Online Today,364;785;89,Kronos Star,"POK members held a large demonstration in Abila yesterday. Several dozen of their supporters held sit-ins in front of the capitol building and the presidential manor, while others took to the streets "
EVT-A183,anchor_event,2012-06-20,POK 纪念 Karel 集会,All News Today; Daily Pegasus; Homeland Illumination; News Online Today; The Orb,18;447;570;572;662;698,Daily Pegasus,"In the stirring leaders of Wednesday of the ceremony of the protectors of the group of the activist of Kronos the tribute paid to its fallen leader, Elian Karel, that was assassinated the 19 of June o"
EVT-0132,cross_source_story,2012-06-21,The police of Abila breaks itself for above will seat dice returned violent in presidential,Everyday News; News Online Today; The Continent; World Journal,318;343;351;57,Everyday News,The traffic around the city as fight of Abilians to be able to work in the middle of vandalism and of the sacking. At the beginning of the Tuesday police stormed the front of the presidential mansion 
EVT-0133,cross_source_story,2012-06-21,Ends of the meeting of the anniversary of POK in uproar,The Guide; The Truth,645;664,The Guide,"The members of POK celebrated a great demonstration in Abila yesterday. It varies dozen of his those in favor carried out seating-ins in front of the building of capitol and señorío presidential, wher"
EVT-0134,cross_source_story,2012-06-22,"Kapelou Calls POK ""A Gang of Criminals""",International News; News Online Today; Worldwise,337;75;792,News Online Today,"In a press release today, President Kapelou today called the POK ""a gang of criminals, thugs, and malcontents who have become a pestilence to our peaceful way of life."""
EVT-0135,cross_source_story,2012-06-22,POK REMEMBERS MARTYRED LEADER,Daily Pegasus; The Orb,572;662,Daily Pegasus,"In the stirring leaders of Wednesday of the ceremony of the protectors of the group of the activist of Kronos the tribute paid to its fallen leader, Elian Karel, that was assassinated the 19 of June o"
EVT-0136,cross_source_story,2012-06-23,The question POK of Kapelou a troop of criminals,The Guide; The Truth,156;194,The Truth,"In a press communication today, president Kapelou today called POK a troop of criminals, criminals, and malcontents who pestilence to our peaceful manner of living. have become the comments of preside"
EVT-0137,cross_source_story,2012-08-22,WHO ARE THE PROTESTERS,News Online Today; The Abila Post,184;54,The Abila Post,"With the third anniversary of Elian Karel's death approaching - former member of the Protectors of Kronos - the question is: who are the protesters? But not only who are they, what and why are they pr"
EVT-0138,cross_source_story,2012-08-23,WHO ARE THE PROTESTERS,Central Bulletin; News Desk,213;709,Central Bulletin,"ABILA, Kronos - With the third anniversary of Elian Karel's death approaching - former member of the Protectors of Kronos - the question is: who are the protesters? The Protectors of Kronos or POK wer"
EVT-0139,cross_source_story,2012-08-24,WHO ARE the PROTESTERS,Athena Speaks; The Explainer,300;74,Athena Speaks,"With the approaching third birthday of the death of of Elian Karel - former member of the Protectors of Kronos - the question is: who are the protesters? But not only which is they, which and why they"
EVT-0140,cross_source_story,2012-09-08,PROTESTS SWELL IN ABILA IN RESPONSE TO CALLS TO ACTION,All News Today; The Orb; The Wrap,0;520;753,All News Today,"Thousands of people lined the roads on Thursday in a display of antigovernment solidarity. Among the demonstrators was Mestache Vardshvna, 23, from the west coast of Kronos. ""This is important, so I t"
EVT-0141,cross_source_story,2012-11-12,POK DEMONSTRATIONS ON THE INCREASE,News Online Today; The Orb; The Wrap,108;840;843,News Online Today,"An increase in the frequency of demonstrations by the Protectors of Kronos have given rise to concerns from the Government of Kronos. Three recent demonstrations, in as many weeks, have drawn crowds o"
EVT-0142,cross_source_story,2013-02-08,Abila Hospitals Seeing Influx of Designer Drug Users,News Online Today; The Continent,124;530,News Online Today,"The Emergency Department at Abila General Hospital in Kronos has been swamped in the last month by people suffering medical complications from designer drugs such as ""cotton candy"" and synthetic marij"
EVT-0143,cross_source_story,2013-02-09,Hospitals of Abila that see the affluence of the designer drug users,Everyday News; World Journal,81;93,Everyday News,"The department of the emergency in the general hospital of Abila in Kronos has been sunk in the month last through the people who underwent medical complications of designer drugs such as ""caramel of "
EVT-0146,cross_source_story,2013-06-20,"Annual POK Rally Ends in Riot, Again",International News; Kronos Star; News Online Today,130;252;374,Kronos Star,"POK members held their annual demonstration in Abila yesterday. A larger than usual crowd gathered in front of the Capitol building, waving signs holding pictures of Elian Karel and Juliana Vann, who "
EVT-0147,cross_source_story,2013-06-21,WHO BRINGS A GUN TO A SIT IN?,All News Today; The Wrap,341;769,All News Today,"ABILA, Kronos - Yesterday, as they have each June 19th for the past three years supporters, of Protectors of Kronos rallied demanding much the same as they have in the past fourteen years: an end to t"
EVT-0148,cross_source_story,2013-06-22,"Annual ends of the meeting of POK in uproar, again",The Guide; Worldwise,189;538,The Guide,"Rhe members of POK celebrated their annual demonstration in Abila yesterday. Greater of the crowd it generally collected in front of the building of the Capitol, shaking the samples that carried out t"
EVT-0149,cross_source_story,2013-06-22,THE WHO BRINGS A WEAPON TO SEATING INSIDE?,Daily Pegasus; The Orb,575;700,Daily Pegasus,"Yesterday, because they have each 19 of June by last the three years of those in favor of the reunited protectors of Kronos demanding much just as they are in the last fourteen years old: a end to the"
EVT-0152,cross_source_story,2013-10-21,2014/03/26,Everyday News; World Journal,234;687,Everyday News,Interpol has announced the formation of a detachment of forces of the new multi-country to fight the more and more ample distribution of cathinone of methyldimethyl of the drug (MDMC). To direct the d
EVT-0154,cross_source_story,2013-11-13,The protests of Kronos explode in violence,Everyday News; News Online Today; The Continent; World Journal,126;446;608;88,Everyday News,"Journalist Shawn Pastorini says that the ""deficiency of the respect"" is supplying of fuel the protests << to continue reading main history >> The demonstrators in Abilia, Kronos have fixed the fire to"
EVT-0155,cross_source_story,2013-12-16,BRAZEN DAY TIME ASSAULT BY POK,News Online Today; The Abila Post,25;83,The Abila Post,"The brazen day time assault on two peace officers by the POK is just another violent, terroristic act in a long string of such acts. The two officers were left bloody and beaten, and tied up in the tr"
EVT-0156,cross_source_story,2013-12-16,POK Assault Police in Abila,International News; News Online Today; The Guide; The Truth,333;388;480;777,News Online Today,Police spokesman Adrien Carmen informed the media today that members of the POK assaulted a police patrol in Abila early this morning. The POK thugs crept up on two patrol officers who were sitting in
EVT-0158,cross_source_story,2013-12-17,BRAZEN DAY TIME ASSAULT BY POK,Athena Speaks; Central Bulletin,231;800,Central Bulletin,"ABILA, Kronos - The brazen day time assault on two peace officers by the POK is just another violent, terroristic act in a long string of such acts. Police spokesman Adrien Carman said of the attack, "
EVT-0160,cross_source_story,2013-12-18,ENORMOUS IPO MAKES MULTIMILLIONAIRE OF SANJORGE,The General Post; The Light of Truth,1;223,The General Post,"President and CEO of GAStech international Sten Sanjorge Jr can add another description to his name: multimillionaire. And not only a multimillionaire, almost multimillionaire excessive of like parts "
EVT-0165,cross_source_story,2014-01-20,WRAP UP OF EVENTS AT GASTECH,Athena Speaks; Central Bulletin; International News; Kronos Star; News Online Today; The Abila Post; The Explainer; The General Post; The Guide; The Light of Truth; The Truth; The Tulip; The World; Who What News,107;145;29;291;326;431;461;469;49;494;516;607;673;679;7;712;715,The Abila Post,"A long tense day of conflicting reports and confusing information has come to an end. What we know for certain is that 14 GAStech employees are not only missing, but kidnapped as confirmed by a Kronos"
EVT-0167,cross_source_story,2014-01-20,"GASTECH EMPLOYEE INTERROGATED, RELEASED",Athena Speaks; Central Bulletin; News Desk; News Online Today; The Abila Post; The Explainer,125;197;440;466;50;512;525,Central Bulletin,For roughly 6 hours GAStech - Kronos employee Edvard Vann was interrogated by Kronos Police and Government officials before being released at 17:00 this evening. The apparent confusion stems from the 
EVT-0169,cross_source_story,2014-01-20,TOP EVENTS WITH GASTECH,Athena Speaks; News Desk; The Explainer; Worldwise,140;397;402;594;818,Athena Speaks,"A long day of the contradictory reports and muddling information finished. What we know for certain that 14 employees of GAStech missing, as confirmed by a source of government of Kronos. Currently it"
