article_id,source,source_folder,source_type,title,author,published_raw,date,date_parse_note,location,word_count,entities,topics,narrative_lines,summary,file_path
496,Everyday News,Everyday News,primary_local,The pioneer of the gas of the slate plans first wells outside coast of the world in the Mediterranean Sea,,1984/05/05,1984-05-05,ok,,589,GAStech|Government|Sten Sanjorge|Tethys,environment|protest,2|3,<<Deleted image: Demonstrator whom it perforates of Anti-offshore. The exploration has proven an controversial edition in Kronos>> To continue reading main history The son of the founder of the company of the gas that GAStech is planning a...,C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Everyday News/496.txt
784,The Continent,The Continent,derivative_international,The gas pioneer of the shale plant the first sea wells of the world in Mediterranean sea,,1984/05/05,1984-05-05,ok,,525,GAStech|Government|Sten Sanjorge|Tethys,environment|protest|business,1|2|3,L<<Deleted picture: Protester. The exploration has proved a controversial question in Kronos>> Most important tale remains the reading The sonof the founder of gas fixed GAStech has been learned bore a venture of plan in the Mediterranean...,C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/The Continent/784.txt
611,The World,The World,derivative_international,KRONOS GOVERNMENT PLANS TAX BREAKS TO ENCOURAGE FOREIGN INVESTMENT,,11 December 1992,1992-12-11,ok,"ABILA, Kronos",142,Government,business,1,"The Government of Kronos is currently planning some of the world's most generous tax breaks for gas investments. This will help create ""cheap energy"" that can give the developing country a competitive advantage and a leg up in the...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/The World/611.txt
301,The Light of Truth,The Light of Truth,derivative_international,The GOVERNMENT OF KRONOS PROJECTS TAX RELIEF TO ENCOURAGE the FOREIGN INVESTMENT,,1992/12/12,1992-12-12,ok,"ABILA, Kronos",159,Government,business,1,"The government of Kronos currently projects some of the tax relief most generous of the world for gas investments. This will help to create ""cheap energy"" which can give to the country in the process of development a competing advantage...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/The Light of Truth/301.txt
380,News Online Today,News Online Today,aggregator,KRONOS GOVERNMENT PLANS TAX BREAKS TO ENCOURAGE FOREIGN INVESTMENT,,1992/12/12,1992-12-12,ok,"ABILA, Kronos",61,Government,business,1,The Government of Kronos is currently planning some of the world's most generous tax breaks for gas investments. The Government of Kronos is pitching the plan as a win-win situation given that the high-income countries will be struggling...,C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/News Online Today/380.txt
473,Who What News,Who What News,derivative_international,KRONOS GOVERNMENT PLANS TAX BREAKS TO ENCOURAGE FOREIGN INVESTMENT,,1992/12/12,1992-12-12,ok,"ABILA, Kronos",108,Government,business,1,"The Government of Kronos is currently planning some of the world's most generous tax breaks for gas investments. As high-income countries from Europe and the United States race to take advantage of existing and potential gas deposits,...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Who What News/473.txt
479,The Tulip,The Tulip,derivative_international,THE GOVERNMENT KRONOS IS THE DISCONTINUANCES OF THE TAX OF PLAN FOREIGN ENCOURAGE INVESTMENT,,1992/12/12,1992-12-12,ok,"ABILA, Kronos",145,Government,environment|kidnapping|business,1|4,The government of Kronos plants at present most generosity the tax discontinuances of some world for the gas investment. This will help to lead to cheap energy which can the developing country give a competitive advantage and a leg of the...,C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/The Tulip/479.txt
835,The General Post,The General Post,primary_local,THE KRONOS GOVERNMENT PLANS TAX BREAKAGE TO ANIMATE THE FOREIGN INVESTMENT,,1992/12/13,1992-12-13,ok,"ABILA, Kronos",173,Government,business,1,"The government of Kronos is planning at the moment some of the more abundant breakage of tax of the world for the investments of the gas. This will help to create the ""cheap energy"" that can give to the developing country a competitive...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/The General Post/835.txt
650,Kronos Star,Kronos Star,primary_local,Government Announces Tax Incentives For Foreign Investment,Donato Petri,18 January 1993,1993-01-18,ok,"ABILA, Kronos",107,Government,business,1,"Today the Parliament voted 86 to 14 in favor of President Araullo's package of tax incentives designed to lure foreign investment to our fair country. Tomas Sarto, Minister of the Interior, lauded the vote as ""a landmark deal designed to...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Kronos Star/650.txt
103,News Online Today,News Online Today,aggregator,Government Announces Tax Incentives For Foreign Investment,,1993/01/19,1993-01-19,ok,"ABILA, Kronos",26,Government,business,1,Today the Parliament voted 86 to 14 in favor of President Araullo's package of tax incentives designed to lure foreign investment to our fair country.,C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/News Online Today/103.txt
226,International News,International News,derivative_international,Government Announces Tax Incentives For Foreign Investment,,1993/01/19,1993-01-19,ok,"ABILA, Kronos",86,Government,business,1,"Today the Parliament voted 86 to 14 in favor of President Araullo's package of tax incentives designed to lure foreign investment to our fair country. The tax incentives specifically target energy development companies, which the...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/International News/226.txt
641,The Guide,The Guide,derivative_international,The government announces the fiscal incentives for the foreign investment,,1993/01/19,1993-01-19,ok,"ABILA, Kronos",130,Government,protest,3,"The parliament today voted 86 to 14 in favor of the package of president Araullo of the fiscal incentives designed to just deceive the foreign investment our country. Tomas Sartos, minister of the interior, praised the vote as...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/The Guide/641.txt
632,The Truth,The Truth,derivative_international,The government announces the incentives of the tax for foreign investment,,1993/01/20,1993-01-20,ok,"ABILA, Kronos",121,Government,business,1,"Today the parliament that 86 up to 14 in favor of the parcel of president Araullo's of tax incentives becomes that is devised voted to tempt foreign investment to our honest country. Tomas Sarto, minister of the inland country, praised the...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/The Truth/632.txt
755,Worldwise,Worldwise,derivative_international,The government announces the tax tax incentives for the foreign investment,,1993/01/20,1993-01-20,ok,"ABILA, Kronos",132,Government,business,1,"Today the Parliament voted 86 to 14 in favor of the package of the President Araullo of the tax tax incentives conceived to delude the foreign investment with our country right. Divided into volumes Sarto, Minister of Interior Department,...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Worldwise/755.txt
152,All News Today,All News Today,aggregator,LACK OF DETAILS MARS GOVERNMENT INTENTIONS,,1993/02/02,1993-02-02,ok,"ABILA, Kronos",98,Government,ipo|business,1,"In a glitzy press conference late last year President Luis Araullo announced a historic set of tax incentives intended to bring foreign investment to Kronos under the guise creating jobs, providing cheap energy and building infrastructure....",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/All News Today/152.txt
681,Homeland Illumination,Homeland Illumination,primary_local,LACK OF DETAILS MARS GOVERNMENT INTENTIONS,Petrus Gerhard,2 February  1993,1993-02-02,ok,"ABILA, Kronos",143,Government,ipo|business,1|2,"In a glitzy press conference late last year President Luis Araullo announced a historic set of tax incentives intended to bring foreign investment to Kronos under the guise creating jobs, providing cheap energy and building infrastructure....",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Homeland Illumination/681.txt
210,The Orb,The Orb,derivative_international,MISS INTENTIONS OF GOVERNMENT OF MARCH OF DETAILS,,1993/02/03,1993-02-03,ok,"ABILA, Kronos",160,Government,protest|business,1|2,"In a President Luis Araullo press conference late last year a historical whole of tax tax incentives designed announced to bring the foreign investment to Kronos under the appearance creating of employment, providing cheap energy and...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/The Orb/210.txt
639,News Online Today,News Online Today,aggregator,LACK OF DETAILS MARS GOVERNMENT INTENTIONS,,1993/02/03,1993-02-03,ok,"ABILA, Kronos",36,Government,business,1,"In a glitzy press conference late last year President Luis Araullo announced a historic set of tax incentives intended to bring foreign investment to Kronos under the guise creating jobs, providing cheap energy and building infrastructure.",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/News Online Today/639.txt
500,The Wrap,The Wrap,derivative_international,LACK OF THE INTENTIONS OF THE GOVERNMENT OF TOP OF DETAILS,,1993/02/04,1993-02-04,ok,"ABILA, Kronos",150,Government,ipo|business,1|2,"In glitzy press conference president Delouse Araullo announced end previous year a historical range tax incentives to foreign investment to Kronos under the mom to bring which to job leads, cheap energy supplies and infrastructure builds....",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/The Wrap/500.txt
748,Daily Pegasus,Daily Pegasus,primary_local,DEFICIENCY OF THE INTENTIONS OF THE MARS GOVERNMENT OF THE DETAILS,,1993/02/04,1993-02-04,ok,"ABILA, Kronos",154,Government,,2,"In a president glitzy Luis Araullo of the press conference behind schedule announced the last year an historical system of fiscal incentives anticipated to bring the foreign investment to Kronos under way that created works, providing...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Daily Pegasus/748.txt
666,Kronos Star,Kronos Star,primary_local,Government Strikes Deal with GAStech International,Donato Petri,12 March 1993,1993-03-12,ok,"ABILA, Kronos",136,GAStech|Government|Sten Sanjorge|Tethys,business,1|2,"President Araullo today announced the signing of an agreement between his government and the Tethys-based GAStech International for the development of the Tiskele Bend gas fields. GAStech, under the leadership of visionary Sten Sanjorge...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Kronos Star/666.txt
367,News Online Today,News Online Today,aggregator,Government Strikes Deal with GAStech International,,1993/03/13,1993-03-13,ok,"ABILA, Kronos",64,GAStech|Government|Sten Sanjorge|Tethys,,,"President Araullo today announced the signing of an agreement between his government and the Tethys-based GAStech International for the development of the Tiskele Bend gas fields. GAStech, under the leadership of visionary Sten Sanjorge...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/News Online Today/367.txt
47,The Guide,The Guide,derivative_international,Distribution of strikes of the government with international GAStech,,1993/03/13,1993-03-13,ok,"ABILA, Kronos",159,GAStech|Government|Sten Sanjorge|Abila|Tethys,business,1,"ABILA, Kronos - president Araullo today announced the signature of an agreement between his government and the GAStech Tethys-based international for the development of the gas fields of the curve of Tiskele. GAStech, under direction of...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/The Guide/47.txt
114,Worldwise,Worldwise,derivative_international,The strikes of government treat international GAStech,,1993/03/14,1993-03-14,ok,"ABILA, Kronos",148,GAStech|Government|Sten Sanjorge|Tethys,business,1|2,"President Araullo today announced the signature of an agreement between his government and GAStech Tethys-based international for the development of the gas layers of curve of Tiskele. GAStech, under the control of Jr. visionary of Sten...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Worldwise/114.txt
795,The Truth,The Truth,derivative_international,The strikes of the government treat international GAStech,,1993/03/14,1993-03-14,ok,"ABILA, Kronos",139,GAStech|Government|Sten Sanjorge|Tethys,business,1|2,"President Araullo announced today signing an agreement between its government and on tethys-based GAStech internationally for development of the gas fields of the bending to Tiskele. GAStech, under the control of unrealistically of Sten...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/The Truth/795.txt
732,Who What News,Who What News,derivative_international,UPGRADES NEEDED FOR ABILA'S DEEP WATER PORT,,1993/09/19,1993-09-19,ok,"ABILA, Kronos",95,GAStech|Government|Abila,,,"As part of the government brokered deal with GAStech International, Abila must make upgrades to their deep water port. The proposed upgrades include raising Abila's East Pier in phases, a massive $300 million project that will accommodate...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Who What News/732.txt
736,The World,The World,derivative_international,UPGRADES NEEDED FOR ABILA'S DEEP WATER PORT,,19 September 1993,1993-09-19,ok,"ABILA, Kronos",142,GAStech|Government|Abila,,,"As part of the government brokered deal with GAStech International, Abila must make upgrades to their deep water port. When gas production ramps up, the Port's traffic is expected to increase ten-fold. The proposed upgrades include raising...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/The World/736.txt
552,The Truth,The Truth,derivative_international,The facilities to promote of the port,,1993/09/20,1993-09-20,ok,"ABILA, Kronos",155,GAStech|Government|Abila|Tethys,protest,,"The minister of the interior Sarto announced today to a government treats the Tethys company international GAStech of the energy development, brokered to promote Abila the port. GAStech have corresponded $200 millions to the costs of the...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/The Truth/552.txt
657,News Online Today,News Online Today,aggregator,UPGRADES NEEDED FOR ABILA'S DEEP WATER PORT,,1993/09/20,1993-09-20,ok,"ABILA, Kronos",48,GAStech|Government|Abila,,,"As part of the government brokered deal with GAStech International, Abila must make upgrades to their deep water port. Additionally, the Port will need to dredge the port killing two birds with one stone: increasing the depth of the port...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/News Online Today/657.txt
143,Worldwise,Worldwise,derivative_international,Left equipment to improve,,1993/09/21,1993-09-21,ok,"ABILA, Kronos",163,GAStech|Government|Abila|Tethys,protest,,"The Minister of Interior Department Sarto today announced a sponsored business by government with the company of development of energy of Tethys GAStech international, to improve the port of Abila. GAStech agreed to contribute $200 million...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Worldwise/143.txt
315,The Tulip,The Tulip,derivative_international,IMPROVEMENTS NECESSARY FOR PORT OF THE WATER OF ABILA DEEP,,1993/09/21,1993-09-21,ok,"ABILA, Kronos",157,GAStech|Government|Abila,,,"ABILA, Kronos - as part of the government brokered international GAStech treat, Abila must make improvements to their deep water port. When the slopes of the gas production up, the movement of the port would have increase ten times....",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/The Tulip/315.txt
503,The Light of Truth,The Light of Truth,derivative_international,The LEVELINGS NEEDED FOR the WEARING Of DEEP WATER For ABILA,,1993/09/21,1993-09-21,ok,"ABILA, Kronos",162,GAStech|Government|Abila,,,"As an element of the sponsored business by government with international GAStech, Abila must make levellings with their wearing of deep water. When the production of built gas, one expects that the traffic of the port increases ten times....",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/The Light of Truth/503.txt
723,The General Post,The General Post,primary_local,THE IMPROVEMENTS NEEDED FOR THE DEEP PORT OF ABILA,,1993/09/21,1993-09-21,ok,"ABILA, Kronos",175,GAStech|Government|Abila,,,"As she leaves from the government brokered distribution with international GAStech, Abila must make improvements to their deep port. When one hopes that the inclines of the production of the gas for above, the traffic of the port increases...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/The General Post/723.txt
725,The Guide,The Guide,derivative_international,Harbor facilities that will be increased,,1993/09/21,1993-09-21,ok,"ABILA, Kronos",171,GAStech|Government|Abila|Tethys,protest,,"The minister of the interior Sarto announced a government today brokered distribution with the company of development of the energy of Tethys international GAStech, to increase the port of Abila. GAStech has decided to contribute $200...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/The Guide/725.txt
750,The World,The World,derivative_international,"PROMINENT BUSINESS, CIVIC LEADER DIES AT 65",,17 February 1994,1994-02-17,ok,"CENTRUM, Tethys",169,GAStech|Sten Sanjorge|Tethys|Centrum,,2,"After four years of diminishing health following a major heart attack, Sten Sanjorge, Sr. died early Friday morning. Sanjorge, Sr., 65, of Centrum, Tethys was President Emeritus of GAStech International having founded the company in 1961....",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/The World/750.txt
137,Who What News,Who What News,derivative_international,"PROMINENT BUSINESS, CIVIC LEADER DIES AT 65",,1994/02/18,1994-02-18,ok,"CENTRUM, Tethys",129,GAStech|Sten Sanjorge|Tethys|Centrum,,2,"CENTRUM, Tethys - After four years of diminishing health following a major heart attack, Sten Sanjorge, Sr. Sanjorge, Sr., 65, of Centrum, Tethys was President Emeritus of GAStech International having founded the company in 1961. In...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Who What News/137.txt
198,The Light of Truth,The Light of Truth,derivative_international,"THE BUSINESSES AHEAD, CIVIC CHIEF DIE IN 65",,1994/02/18,1994-02-18,ok,"CENTRUM, Tethys",181,GAStech|Sten Sanjorge|Tethys|Centrum,,2,"After four years of health decreasing according to an important heart attack, Sten Sanjorge Sr. Friday morning early dead. Sanjorge Sr., 65, of Centrum, Tethys was President Emeritus of international of GAStech having founded the company...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/The Light of Truth/198.txt
3,The Tulip,The Tulip,derivative_international,PROMINENT Citizen dies at 65,,1994/02/18,1994-02-18,ok,"CENTRUM, Tethys",174,GAStech|Sten Sanjorge|Tethys|Centrum,,2,"Friday early after four years of diminishing health after an important heart attack, Sten Sanjorge, SR. died morning. Sanjorge, SR., 65, of Centrum, Tethys were president Emeritus of international GAStech have establishedthe company in...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/The Tulip/3.txt
478,The General Post,The General Post,primary_local,"THE PROMINENT BUSINESS, CIVIC LEADER DIES IN 65",,1994/02/18,1994-02-18,ok,"CENTRUM, Tethys",193,GAStech|Sten Sanjorge|Tethys|Centrum,,2,"after four years of health that diminishes that they follow an important heart attac, Sten Sanjorge Sr. died Friday. Mr. Sanjorge, 65, of Centrum, Tethys was president emeritus of international of GAStech and founded the company on 1961....",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/The General Post/478.txt
722,News Online Today,News Online Today,aggregator,"PROMINENT BUSINESS, CIVIC LEADER DIES AT 65",,1994/02/18,1994-02-18,ok,"CENTRUM, Tethys",47,GAStech|Sten Sanjorge|Tethys|Centrum,,2,"After four years of diminishing health following a major heart attack, Sten Sanjorge, Sr. has died. Sanjorge, Sr., 65, of Centrum, Tethys was President Emeritus of GAStech International having founded the company in 1961. is survived by...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/News Online Today/722.txt
84,The World,The World,derivative_international,GASTECH'S EXPANSION REACHES THE SHORES OF KRONOS,,23 September 1994,1994-09-23,ok,"ABILA, Kronos",124,GAStech|Sten Sanjorge,,,The groundbreaking today at the Tiskele Bend site marks another flag planted in foreign soil by GAStech International. Sten Sanjorge Jr.'s international expansion has been the hallmark of his brief tenure at the helm following his father's...,C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/The World/84.txt
105,Who What News,Who What News,derivative_international,GASTECH'S EXPANSION REACHES THE SHORES OF KRONOS,,1994/09/24,1994-09-24,ok,"ABILA, Kronos",88,GAStech,,,"The groundbreaking today at the Tiskele Bend site marks another flag planted in foreign soil by GAStech International. With the jobs, and the cheaper and cleaner fuel provided by GAStech you can begin to live the lives you deserve."" On the...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Who What News/105.txt
534,News Online Today,News Online Today,aggregator,GASTECH'S EXPANSION REACHES THE SHORES OF KRONOS,,1994/09/24,1994-09-24,ok,"ABILA, Kronos",42,GAStech,,,The groundbreaking today at the Tiskele Bend site marks another flag planted in foreign soil by GAStech International. Conservative estimates of preliminary test well results place the Tiskele Bend field at least on par with the largest of...,C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/News Online Today/534.txt
192,The General Post,The General Post,primary_local,THE EXTENSION OF GASTECH REACHES THE KRONOS BORDERS,,1994/09/25,1994-09-25,ok,"ABILA, Kronos",148,GAStech|Sten Sanjorge,,,Groundbreaking today in the site of the curve of Tiskele marks another flag planted in foreign ground by GAStech International. The international extension of the Sten Sanjorge Jr. has be the seal of its brief renting in the rudder that...,C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/The General Post/192.txt
331,The Tulip,The Tulip,derivative_international,THE EXTENSION OF GASTECH REACHES THE COASTS OF KRONOS,,1994/09/25,1994-09-25,ok,"ABILA, Kronos",134,GAStech,,,Rhe groundbreaking today at the place of bending Tiskele see another flag which is planted in foreign ground by GAStech international. Sanjorge of Sten the international extension of Jr. the stamp of its short term of office has been at...,C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/The Tulip/331.txt
802,The Light of Truth,The Light of Truth,derivative_international,The EXPANSION OF GASTECH REACHES the SHORES OF KRONOS,,1994/09/25,1994-09-25,ok,"ABILA, Kronos",142,GAStech|Sten Sanjorge,,,Today of inauguration to the site of curve of Tiskele another flag planted in the foreign ground by GAStech International marks. The international expansion of Jr. of Sten Sanjorge was the seal of its short tenure to the bar according to...,C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/The Light of Truth/802.txt
111,The World,The World,derivative_international,DRILLING TECHNIQUE BANNED IN TETHYS,,30 March 1995,1995-03-30,ok,"CENTRUM, Tethys",89,GAStech|Government|Sten Sanjorge|Tethys,environment,2,GAStech International's Hyper Acidic Substrate Removal (HASR) has officially been banned by the Tethys government due to the high probability of water contamination. GAStech developed the innovative drilling technique in 1974 proved quite...,C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/The World/111.txt
153,Who What News,Who What News,derivative_international,DRILLING TECHNIQUE BANNED IN TETHYS,,1995/03/30,1995-03-30,ok,"CENTRUM, Tethys",70,GAStech|Government|Tethys,environment,2,GAStech International's Hyper Acidic Substrate Removal (HASR) has officially been banned by the Tethys government due to the high probability of water contamination. GAStech developed the innovative drilling technique in 1974 proved quite...,C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Who What News/153.txt
314,News Online Today,News Online Today,aggregator,DRILLING TECHNIQUE BANNED IN TETHYS,,1995/03/30,1995-03-30,ok,"CENTRUM, Tethys",24,GAStech|Government|Tethys,environment,2,GAStech International's Hyper Acidic Substrate Removal (HASR) has officially been banned by the Tethys government due to the high probability of water contamination.,C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/News Online Today/314.txt
729,The Light of Truth,The Light of Truth,derivative_international,TECHNIQUE OF DRILLING PROHIBITED IN TETHYS,,1995/03/31,1995-03-31,ok,"CENTRUM, Tethys",106,GAStech|Government|Sten Sanjorge|Tethys,environment|business,1|2,Acid displacement hyper international of substrate of GAStech (HASR) was officially prohibited by the government of Tethys due to the high probability of the contamination of water. GAStech developed the innovating technique of drilling in...,C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/The Light of Truth/729.txt
586,The Tulip,The Tulip,derivative_international,BORING TECHNIQUE WHICH IS PROHIBITED IN TETHYS,,1995/04/01,1995-04-01,ok,"CENTRUM, Tethys",95,GAStech|Government|Sten Sanjorge|Tethys,environment,2,"The international Hyper Acidic disposal of the substrate GAStech (HASR) have been prohibited officially the government attributing Tethys to the high probability of water pollution. Developed innovative boring proved technique in 1974, to...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/The Tulip/586.txt
