relationship_id,entity_a,entity_b,relation,description,evidence_type,evidence_id,source,date,quote,file_path,confidence
REL-0011,APA,GAStech,hostility,绑架风险与恐怖活动关联,news,460,Everyday News,2014-01-21,"employees has not been sent. Juan Rathburn, American expert in the executive kidnappings that are living in Tethys, says that Kronos has not been known as country archetype for the kidnapping. ""Nevertheless, the increasing activity by POK, APA [army of people of Asterian], and others in the region h",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Everyday News/460.txt,medium
REL-0012,APA,GAStech,hostility,绑架风险与恐怖活动关联,news,507,Tethys News,2014-01-20,to the clock in order assessing employ to you of GAStech are found and that the kidnappers they are capacities to justice.,C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Tethys News/507.txt,medium
REL-0013,POK,APA,indirect_association,同为激进组织但目标与手段不同,news,141,Athena Speaks,2009-02-21,REGISTERED OFFICES OF GASTECH BLOCKED BY POK A gathering of POK conceived to give the attention to the complaints of the environmental damage made more damage. The gathering apart from international registered offices of GAStech had like consequence of the multiple arrests for the... A gathering of ,C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Athena Speaks/141.txt,high
REL-0014,POK,APA,indirect_association,同为激进组织但目标与手段不同,news,387,Everyday News,2009-06-23,"He heard that the prices of food in Abila are really high."" Nevertheless, its capacity to hook in last instance with the intimidated government of Kronos never had been clear. She is also confused who will now take its layer in the POK goes that it.",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Everyday News/387.txt,medium
REL-0015,POK,APA,indirect_association,同为激进组织但目标与手段不同,news,460,Everyday News,2014-01-21,"country archetype for the kidnapping. ""Nevertheless, the increasing activity by POK, APA [army of people of Asterian], and others in the region have increased perceivably the risk."" The corresponding times i",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Everyday News/460.txt,medium
REL-0016,Sten Sanjorge,President Kapelou,official_meeting,IPO 后政府接待与高层互动,news,174,Kronos Star,2014-01-19,"Barranco, Ada Campo-Corrente, Orhan Strum, and Willem Vasco-Pais will attend a reception with government officials tomorrow following a business meeting at their headquarters building. Government spokesman... Local GAStech executives Ingrid Barranco, Ada Campo-Corrente, Orhan Strum, and Willem Vasco",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Kronos Star/174.txt,high
REL-0017,Sten Sanjorge,President Kapelou,official_meeting,IPO 后政府接待与高层互动,news,169,The Abila Post,2014-01-20,"ronos Government official who asked not to be identified but was present at the government reception has gone on the record stating, ""Investigators are working around the clock to ensure that the kidnapped GAStech... 202",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/The Abila Post/169.txt,medium
REL-0018,Sten Sanjorge,President Kapelou,official_meeting,IPO 后政府接待与高层互动,news,170,Central Bulletin,2014-01-20,"GAStech leadership are in fact missing. The group was expected to arrive at the Government reception following this morning's meeting at... Miriam Avila, an administrative assistant at GAStech International, has confirme",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Central Bulletin/170.txt,medium
REL-0019,Elian Karel,POK,leadership,POK 领袖与运动象征,news,134,Homeland Illumination,2001-03-22,"asure and Minister Nespola will reintroduce it later this year."" Bodrogi is the leader of the Protectors of Kronos, a grassroots environmental group with a mission to reverse the pollution caused by gas drilling in his hometown.",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Homeland Illumination/134.txt,high
REL-0020,Elian Karel,POK,leadership,POK 领袖与运动象征,news,465,Daily Pegasus,2001-03-23,"ster will reintroducirá it to Nespola at the end of this year."" Bodrogi is the leader of the protectors of Kronos, an environmental group of the towns with a mission to stop the contamination caused by the gas that it perforates in h",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Daily Pegasus/465.txt,medium
REL-0021,Elian Karel,POK,leadership,POK 领袖与运动象征,news,168,Kronos Star,2009-02-18,"of citizens from the Elodis area, has been revitalization under the charismatic leadership of Elian Karel. Government spokesman Rufus Drymiau said of today's POK rally, ""We have been concerned by a pattern of increasingly aggressive tactics by the Protectors of Kronos for some time now. In light of ",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Kronos Star/168.txt,medium
REL-0022,Henk Bodrogi,POK,founder,POK 创始人之一,news,69,Homeland Illumination,1998-03-19,a farmer whose family had been here for several generations. I caught up with Henk Bodrogi in town making purchases at the Osvaldo hardware store to repair a broken tractor. Bodrogi has farmed soybeans his ent,C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Homeland Illumination/69.txt,high
REL-0023,Henk Bodrogi,POK,founder,POK 创始人之一,news,317,Daily Pegasus,1998-03-21,o he who family had here been for several generations. I took for above with Henk Bodrogi in the city that made purchases in the warehouse of the hardware of Osvaldo to repair an broken tractor. Bodrogi has c,C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Daily Pegasus/317.txt,medium
REL-0024,Henk Bodrogi,POK,founder,POK 创始人之一,news,502,Homeland Illumination,1998-04-25,luence of multinational corporations on the country of Kronos. I caught up with Henk Bodrogi in town making purchases at Ferro Hardware store to repair a broken tractor. Bodrogi has farmed soybeans his entire li,C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Homeland Illumination/502.txt,medium
REL-0025,Sten Sanjorge Jr ,Orhan Strum,email_communication,IPO 相关内部邮件通信,email,11,email headers.csv,2014-01-06 11:53,IPO,MC1/email headers.csv,high
REL-0026,Willem Vasco-Pais,Orhan Strum,email_communication,IPO 相关内部邮件通信,email,26,email headers.csv,2014-01-06 12:56,RE: IPO,MC1/email headers.csv,high
REL-0027,Orhan Strum,Orhan Strum,email_communication,IPO 相关内部邮件通信,email,28,email headers.csv,2014-01-06 13:05,RE: IPO,MC1/email headers.csv,high
REL-0028,Willem Vasco-Pais,Orhan Strum,email_communication,IPO 相关内部邮件通信,email,48,email headers.csv,2014-01-06 14:19,RE: IPO,MC1/email headers.csv,high
REL-0029,Willem Vasco-Pais,Orhan Strum,email_communication,IPO 相关内部邮件通信,email,59,email headers.csv,2014-01-06 14:57,RE: IPO,MC1/email headers.csv,high
REL-0030,GAStech,Government,security_coordination,2014-01-20 VIP 访问安保协调,email,31,email headers.csv,2014-01-06 13:14,Facilities preparations for VIP visit,MC1/email headers.csv,medium
REL-0031,GAStech,Government,security_coordination,2014-01-20 VIP 访问安保协调,email,35,email headers.csv,2014-01-06 13:24,Question - Protocol for VIP visit,MC1/email headers.csv,medium
REL-0032,GAStech,Government,security_coordination,2014-01-20 VIP 访问安保协调,email,73,email headers.csv,2014-01-06 16:38,RE: Facilities preparations for VIP visit,MC1/email headers.csv,medium
